Nem;Stílus;Csoport;Gyakorlat;Súlycsoport;Név;Egyesület;Születési év;Testsúly;Eredmény;Dátum;Helyszín;Verseny
Férfi;EQ;Ifjúsági;Fekvenyomás;-59kg;Orosi Tamás;Mérk Kinizsi SE;1996;56,50;127,5;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;-66kg;Fazekas Tibor;Marvel Team SE;1996;63,75;140,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;-74kg;Rácz Dávid;Mérk Kinizsi SE;1996;73,75;180,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;-83kg;Mihálik Ádám;Tabi Fitness Klub SE;1994;82,00;170,0;2012.12.08-09;Orosháza;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;-93kg;Susa Olivér;Vasdisznó SE;2004;93,00;187,0;2021.09.28;Halmstad (SWE);Ifi RAW Erőemelő Világbajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;-105kg;Szászi Milán;Orosházi Toldi SE;1997;96,05;172,5;2015.05.01-02;Tab;Ifi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;-120kg;Ungai Olivér;Hajdúszoboszlói BSE;1998;111,50;172,5;2015.04.07-11;Orosháza;Ifi Junior Erőemelő Európa Bajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;120+kg;Mikula Norbert;Bihari SE;1993;144,00;301,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-53kg;Orosi Tamás;Mérk Kinizsi SE;1996;51,00;150,0;2013.09.14;Győrszentiván;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-59kg;Somodi Vince;Famílya SC;1995;57,60;175,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-66kg;Somodi Vince;Egyetértés SE;1995;64,60;215,0;2012.12.08-09;Orosháza;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-74kg;Nagy Zoltán;Tabi Fitness Klub SE;2004;71,50;230,0;2021.06.26;Budapest;Ifi Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-83kg;Kishonti Noel;Orosházi Toldi SE;1996;81,72;250,0;2013.04.09-13;Prága (CZE);Ifi Erőemelő Európa Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-93kg;Susa Olivér;Vasdisznó SE;2004;93,00;265,0;2021.09.28;Halmstad (SWE);Ifi RAW Erőemelő Világbajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-105kg;ifj. Szimcsina Mihály;KeletEreje Nyíregyháza;1999;101,80;290,0;2017.10.14-15;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;-120kg;Kandrák Patrik;KeletEreje Nyíregyháza;1999;118,20;260,0;2017.11.25-26;Kisbér;Ifi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Felhúzás;120+kg;Mikula Norbert;Bihari SE;1993;144,00;280,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Összetett;-53kg;alaprekord;;;;480,0;2011.01.01;;
Férfi;EQ;Junior;Összetett;-59kg;alaprekord;;;;500,0;2011.01.01;;
Férfi;EQ;Junior;Összetett;-66kg;Somodi Vince;Jászladányi Egyetértés SE;1995;64,20;585,0;2015.04.07-11;Orosháza;Ifi Junior Erőemelő Európa Bajnokság
Férfi;EQ;Junior;Összetett;-74kg;Rácz Dávid;Mérk Kinizsi SE;1996;73,75;640,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Összetett;-83kg;Enahoro Asein;Westfit Gym SE;1999;81,54;701,0;2021.09.30;Halmstad (SWE);RAW Erőemelő Világbajnokság
Férfi;EQ;Junior;Összetett;-93kg;Horváth Péter;Flex SE;1991;92,30;812,5;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Összetett;-105kg;Opra Gergő;Barcsi VSE;1994;101,85;850,0;2016.12.17;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Összetett;-120kg;Bereczki Szilárd;Sirius Lifting SE;1999;111,20;805,0;2021.08.28;Baja;II.o RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Összetett;120+kg;Mikula Norbert;Bihari SE;1993;144,00;891,0;2011.10.07-09;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Guggolás;-53kg;alaprekord;;;;150,0;2011.01.01;;
Férfi;EQ;Junior;Guggolás;-59kg;Orosi Tamás;Mérk Kinizsi SE;1996;58,10;170,0;2016.12.17;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Guggolás;-66kg;Somodi Vince;Jászladányi Egyetértés SE;1995;63,80;222,5;2016.08.29-09.03;Szczyrk (POL);Ifi Junior Erőemelő Világbajnokság
Férfi;EQ;Junior;Guggolás;-74kg;Rácz Dávid;Mérk Kinizsi SE;1996;73,75;240,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Guggolás;-83kg;Czégényi Raymond;RKA Erőművek SE;1992;79,35;250,0;2014.04.09-13;Szentpétervár (RUS);Ifi Junior Erőemelő Európa Bajnokság
Férfi;EQ;Junior;Guggolás;-93kg;Horváth Péter;Flex SE;1991;92,30;322,5;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Guggolás;-105kg;Opra Gergő;Barcsi VSE;1994;101,85;310,0;2016.12.17;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Guggolás;-120kg;Farkas Ádám;Orosházi Toldi SE;1992;117,20;300,0;2015.10.24;Győr;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Guggolás;120+kg;Véró Alex;Orosházi Toldi SE;1996;162,15;315,0;2017.10.14-15;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Fekvenyomás;-53kg;alaprekord;;;;110,0;2011.01.01;;
Férfi;EQ;Junior;Fekvenyomás;-59kg;Orosi Tamás;Mérk Kinizsi SE;1996;58,10;128,0;2016.12.17;Budapest;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Fekvenyomás;-66kg;Orosi József;Mérk Kinizsi SE;1992;63,60;150,0;2012.04.14-15;Orosháza;Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Junior;Fekvenyomás;-74kg;Rácz Dávid;Mérk Kinizsi SE;1996;73,75;180,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
